# chipvoice register log v1
# name: song-golden
# chip: c64
# clock: 985248
# cycles: 3940992
# source: packages/chipvoice/test/golden-c64.mjs
# notes: 152 bpm, 4 s, through the driver
0 D418 0F
2401854 D412 40
2418179 D406 91
2418227 D40B 10
2432055 D407 A9
2432059 D408 03
2432063 D409 00
2432067 D40A 08
2432071 D40C 00
2432075 D40D D1
2432079 D40B 11
2432103 D40E 51
2432107 D40F 07
2432111 D410 00
2432115 D411 08
2432119 D413 00
2432123 D414 F1
2432127 D412 11
2448524 D40E FA
2448528 D40F 05
2451020 D400 7C
2464945 D40E E2
2464949 D40F 04
2464953 D414 D1
2467441 D400 93
2467445 D406 81
2481365 D40E FD
2481369 D40F 03
2481373 D414 A1
2483862 D400 7C
2497786 D40E 42
2497790 D414 61
2500283 D400 45
2514207 D412 10
2516704 D400 0E
2530628 D40E A2
2530632 D40F 0E
2530636 D410 00
2530640 D411 0E
2530644 D413 00
2530648 D414 91
2530652 D412 41
2533124 D400 F7
2533128 D401 1C
2547049 D40E 67
2547053 D40F 11
2547057 D414 81
2549545 D400 0E
2549549 D401 1D
2563469 D40E ED
2563473 D40F 15
2563477 D414 71
2565966 D400 45
2579890 D40E A2
2579894 D40F 0E
2582387 D400 7C
2596311 D412 40
2598808 D400 93
2612684 D40B 10
2615228 D404 40
2626464 D400 DA
2626468 D401 20
2626472 D402 00
2626476 D403 0C
2626480 D405 00
2626484 D406 F1
2626488 D404 41
2626512 D407 A9
2626516 D408 03
2626520 D409 00
2626524 D40A 08
2626528 D40C 00
2626532 D40D D1
2626536 D40B 11
2626560 D40E FF
2626564 D40F FF
2626568 D410 00
2626572 D411 08
2626576 D413 00
2626580 D414 B1
2626584 D412 81
2642981 D414 61
2659305 D406 E1
2659401 D414 21
2675726 D406 D1
2675822 D412 80
2692147 D406 C1
2723788 D40E 51
2723792 D40F 07
2723796 D410 00
2723800 D411 08
2723804 D413 00
2723808 D414 F1
2723812 D412 11
2724989 D406 B1
2740209 D40E FA
2740213 D40F 05
2756630 D40E E2
2756634 D40F 04
2756638 D414 D1
2757830 D406 A1
2773051 D40E FD
2773055 D40F 03
2773059 D414 A1
2789471 D40E 42
2789475 D414 61
2805892 D412 10
2807093 D404 40
2807141 D40B 10
2820921 D400 CE
2820925 D401 22
2820929 D402 00
2820933 D403 0C
2820937 D405 00
2820941 D406 F1
2820945 D404 41
2820969 D407 A9
2820973 D408 03
2820977 D409 00
2820981 D40A 08
2820985 D40C 00
2820989 D40D D1
2820993 D40B 11
2821017 D40E 4C
2821021 D40F 68
2821025 D410 00
2821029 D411 08
2821033 D413 00
2821037 D414 F1
2821041 D412 41
2837437 D414 C1
2837441 D412 81
2853762 D406 E1
2853858 D414 91
2870183 D406 D1
2870279 D414 61
2886604 D406 C1
2886700 D414 31
2903121 D412 80
2919445 D406 B1
2919541 D40E A2
2919545 D40F 0E
2919549 D410 00
2919553 D411 0E
2919557 D413 00
2919561 D414 91
2919565 D412 41
2935962 D40E 67
2935966 D40F 11
2935970 D414 81
2952287 D406 A1
2952383 D40E ED
2952387 D40F 15
2952391 D414 71
2968804 D40E A2
2968808 D40F 0E
2985225 D412 40
